code;omschrijving;96.30 Soort;99.98 Datum ingang;99.99 Datum einde
153;Overgangsbep. bij wijz. Rijkswet Nederl. Bep: Rijkswet 21-12-2000, art. V, lid 1;VK;20030401;20050401
154;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 15, lid 1, onder a;VL;20030401;
155;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 15, lid 1, onder b;VL;20030401;
156;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2000, art. 15, lid 1, onder d;VL;20030401;
157;Verdrag van Straatsburg van 6 mei 1963, art. 1, lid 1;VL;19850610;
158;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2003, art. 5;VK;20040101;
159;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2003, art. 5a, lid 1;VK;20040101;
160;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2003, art. 5a, lid 2;VK;20040101;
161;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2003, art. 5b, lid 1;VK;20040101;
162;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2003, art. 5b, lid 2;VK;20040101;
163;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2003, art. 5c;VK;20040101;
164;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 4, lid 2;VK;20090301;
165;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 4, lid 3;VK;20090301;
166;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 4, lid 4;VK;20090301;
167;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 4, lid 5;VK;20090301;
168;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 6, lid 1, onder c;VK;20090301;
169;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 6, lid 8;VK;20090301;
170;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 11, lid 4;VK;20090301;
171;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 11, lid 5;VK;20090301;
172;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 16, lid 1, onder b;VL;20090301;
173;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 26, lid 3;VK;20090301;
174;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2008, art. 28, lid 3;VK;20090301;
175;Wijziging Rw. Nederl. Bep: Rw. 27-06-2008 art. II, lid 1, sub a (Stb. 2008, 270);VK;20090301;
176;Wijziging Rw. Nederl. Bep: Rw. 27-06-2008 art. II, lid 1, sub b (Stb. 2008, 270);VK;20090301;
177;Wijziging Rw. Nederl. Bep: Rw. 27-06-2008 art. II, lid 1, sub c (Stb. 2008, 270);VK;20090301;
178;Wijziging Rw. Nederl. Bep: Rw. 27-06-2008 art. II, lid 2 (Stb. 2008, 270);VK;20090301;
179;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 6, lid 1, onder i;VK;20101001;
180;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 6, lid 1, onder j;VK;20101001;
181;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 6, lid 1, onder k;VK;20101001;
182;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 6, lid 1, onder l;VK;20101001;
183;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 6, lid 1, onder m;VK;20101001;
184;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 6, lid 1, onder n;VK;20101001;
185;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 6, lid 1, onder o;VK;20101001;
186;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 14, lid 2;VL;20101001;
187;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 14, lid 4;VL;20101001;20170301
188;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2010, art. 15, lid 1, onder f;VL;20101001;20170301
189;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2017, art. 14, lid 3;VL;20170301;
190;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2017, art. 14, lid 4;VL;20170301;
191;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2017, art. 14, lid 6;VL;20170301;
192;Rijkswet Nederlanderschap 1984 i.v.m. wijziging 2017, art. 15, lid 1, onder e;VL;20170301;
301;Vaststelling bezit vreemde nationaliteit;OP;;
310;Vaststelling bijzonder Nederlanderschap;OP;;
311;Vaststelling onbekende nationaliteit;OP;;
312;Vaststelling staatloosheid;OP;;
401;Verlies vreemde nationaliteit;BE;;
402;Afstand van vreemde nationaliteit;BE;;
403;Vervallen vreemde nationaliteit;BE;;
404;Beëindiging registratie (niet-Nederlandse) nationaliteit;BE;;
405;Correctie in verband met ten onrechte opgenomen gegevens;BE;;
410;Verlies bijzonder Nederlanderschap;BE;;
411;Ongedaan maken onbekende nationaliteit;BE;;
412;Beëindiging staatloosheid;BE;;
