veldnaam;;;;;categorie;element;GBA Persoon veldnaam;;;;;aanpassing door proxy;afleiding of feature;Buitengemeentelijke autorisatie;Beperkt zoekresultaat;
;nationaliteit;;;;4;05.10;;nationaliteit;;;;standaardwaarde 0000, 0002, 0499 en 0500 uitfilteren;nationaliteit;Ja;;
;redenOpname;;;;4;63.10;;redenOpname;;;;standaardwaarde 000 uitfilteren;onbekend_waardes;;;
;;;;;;;;aanduidingBijzonderNederlanderschap;;;;verwijderen (komt alleen voor in GBA varianten);;Ja;;
;inOnderzoek;;;;4;;;inOnderzoek;;;;;;~;;
;;*;;;4;83.10;;;aanduidingGegevensInOnderzoek;;;vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;4;83.20;;;datumIngangOnderzoek;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;datumIngangGeldigheid;;;;4;85.10;;datumIngangGeldigheid;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;;;
partners;;;;;5;;partners;;;;;;partners;~;;
;burgerservicenummer;;;;5;01.20;;burgerservicenummer;;;;;;Ja;;
;naam;;;;5;;;naam;;;;;;Ja;;
;;voorletters;;;;;;;;;;afleiden uit naam.voornamen;voorletters;Ja;;
;;voornamen;;;5;02.10;;;voornamen;;;;;Ja;;
;;adellijkeTitelPredicaat;;;5;02.20;;;adellijkeTitelPredicaat;;;;;Ja;;
;;voorvoegsel;;;5;02.30;;;voorvoegsel;;;;;Ja;;
;;geslachtsnaam;;;5;02.40;;;geslachtsnaam;;;standaardwaarde . uitfilteren;onbekend_waardes;Ja;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;partners.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;geboorte;;;;5;;;geboorte;;;;;;~;;
;;datum;;;5;03.10;;;datum;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;;plaats;;;5;03.20;;;plaats;;;standaardwaarde 0000 uitfilteren onbekend_waardes;;;;
;;land;;;5;03.30;;;land;;;tandaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;partners.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;geslacht;;;;5;04.10;;geslacht;;;;;;;;
;aangaanHuwelijkPartnerschap;;;;5;;;aangaanHuwelijkPartnerschap;;;;;;~;;
;;datum;;;5;06.10;;;datum;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;;plaats;;;5;06.20;;;plaats;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;;land;;;5;06.30;;;land;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;partners.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;ontbindingHuwelijkPartnerschap;;;;5;;;ontbindingHuwelijkPartnerschap;;;;;;~;;
;;datum;;;5;07.10;;;datum;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;partners.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;soortVerbintenis;;;;5;15.10;;soortVerbintenis;;;;;;;;
;inOnderzoek;;;;5;;;inOnderzoek;;;;;;~;;
;;*;;;5;83.10;;;aanduidingGegevensInOnderzoek;;;vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;5;83.20;;;datumIngangOnderzoek;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
overlijden;;;;;6;;overlijden;;;;;;;~;;
;datum;;;;6;08.10;;datum;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;indicatieOverleden;;;;;;;;;;;afleiden uit overlijden.datum;als 08.10 !== leeg/null: true;Ja;Ja;
;plaats;;;;6;08.20;;plaats;;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;land;;;;6;08.30;;land;;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;inOnderzoek;;;;6;;;inOnderzoek;;;;;;~;;
;;*;;;6;83.10;;;aanduidingGegevensInOnderzoek;;;vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;6;83.20;;;datumIngangOnderzoek;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
opschortingBijhouding;;;;;7;;opschortingBijhouding;;;;;;;Ja;;
;datum;;;;7;67.10;;datum;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;reden;;;;7;67.20;;reden;;;;;;Ja;Ja;
datumEersteInschrijvingGBA;;;;;7;68.10;datumEersteInschrijvingGBA;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;;;
geheimhoudingPersoonsgegevens;;;;;7;70.10;geheimhoudingPersoonsgegevens;;;;;waarde >0: true, waarde 0: verwijderen;als 70.10 > 0: true;Ja;Ja;
verificatie;;;;;7;;verificatie;;;;;;;;;
;datum;;;;7;71.10;;datum;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;;Ja;Ja;
;omschrijving;;;;7;71.20;;omschrijving;;;;;;Ja;Ja;
gemeenteVanInschrijving;;;;;8;09.10;gemeenteVanInschrijving;;;;;;;Ja;;
datumInschrijvingInGemeente;;;;;8;09.20;datumInschrijvingInGemeente;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
verblijfplaats;;;;;8;;verblijfplaats;;;;;;;~;;
;type;;;;;;;;;;;Adres | Locatie | VerblijfplaatsBuitenland | VerblijfplaatsOnbekend;verblijfplaats;Ja;Ja;
;functieAdres;;;;8;10.10;;functieAdres;;;;;;Ja;Ja;
;;;;;;;;datumAanvangAdreshouding;;;;verwijderen (komt alleen voor in GBA varianten);;Ja;;
;adresseerbaarObjectIdentificatie;;;;8;11.80;;adresseerbaarObjectIdentificatie;;;;standaardwaarde 0000000000000000 uitfilteren;onbekend_waardes;Ja;;
;nummeraanduidingIdentificatie;;;;8;11.90;;nummeraanduidingIdentificatie;;;;standaardwaarde 0000000000000000 uitfilteren;onbekend_waardes;Ja;;
